Mental disorder - 精神障碍,M000101,Mental disorder,精神障碍,/ˈmɛntl dɪsˈɔrdər/,P.,心理,,"A mental disorder refers to a condition that affects a person's thinking, feeling, or behavior.",mental disorder,condition_that_affects_person's_thinking_feeling_or_behavior,250917A000,「uu」
Mental illness - 精神疾病,M000102,Mental illness,精神疾病,/ˈmɛn.təl ˈɪl.nəs/,P.,心理,,"Mental illness refers to a wide range of mental health conditions that affect mood, thinking, and behavior.",,,250917A000,「uu」
Abnormal psychology - 变态心理学,M000103,Abnormal psychology,变态心理学,/æbˈnɔːrməl saɪˈkɒlədʒi/,P.,心理,,Abnormal psychology is the study of abnormal behavior and psychological dysfunctions.,abnormal psychology,study_of_abnormal_behaviors,250917A000,「uu」
Psychopathology - 精神病理学,M000104,Psychopathology,精神病理学,/ˌsaɪ.kəʊ.pæθˈɒl.ə.dʒi/,n.,心理,,Psychopathology is the study of mental disorders and their effects.,psycho path o logy,mind disease_study,250917A000,「uu」
Mental health professional - 精神卫生专业人员,M000105,Mental health professional,精神卫生专业人员,,P.,心理,,A mental health professional is someone who works in the field of mental health support and treatment.,,,250917A000,「uu」
Psychodiagnosis - 心理诊断,M000106,Psychodiagnosis,心理诊断,/ˌsaɪkoʊdaɪəɡˈnoʊsɪs/,n.,心理,,Psychodiagnosis refers to the process of diagnosing psychological conditions.,psycho dia gnosis,mind study_of knowledge,250917A000,「uu」
Treatment plan - 治疗计划,M000107,Treatment plan,治疗计划,/ˈtritmənt plæn/,P.,,,A treatment plan outlines the specific steps a patient will follow to manage their health conditions.,treatment plan,specific_steps_of_patient_management,250917A000,「uu」
Etiology - 病因学,M000108,Etiology,病因学,/ˌiːtiˈɒlədʒi/,n.,醫學,,Etiology is the study of causes or origins of diseases.,etio logy,cause_of study,250917A000,「uu」
Psychotherapy - 心理治疗,M000109,Psychotherapy,心理治疗,/ˌsaɪkoʊˈθɛrəpi/,n.,心理,,Psychotherapy is a treatment that involves psychological techniques to help patients.,,,250917A000,「uu」
Hallucination - 幻觉,M000110,Hallucination,幻觉,/həˌluːsɪˈneɪʃən/,n.,精神,,A hallucination is when a person perceives something that is not actually present.,,,250917A000,「uu」
Culture - 文化,M000111,Culture,文化,/ˈkʌl.tʃər/,n.,,,"Culture refers to the social behavior and norms found in human societies, emphasizing the importance of culture.",,,250917A000,「uu」
Cultural relativism - 文化相对主义,M000112,Cultural relativism,文化相对主义,/ˈkʌltʃərəl ˌrɛlətˈvɪzəm/,P.,,,Cultural relativism is the idea that a person's beliefs and activities should be understood based on that person's own culture.,cultural relativism,cultural_relativism,250917A000,「uu」
Cultural universality - 文化普遍性,M000113,Cultural universality,文化普遍性,/ˈkʌltʃərəl ˌjunɪˈvɜːrsəlɪti/,P.,,,Cultural universality refers to elements that are common to all human cultures.,cultural universality,common_to_all_human_cultures,250917A000,「uu」
Psychiatric epidemiology - 精神病学流行病学,M000114,Psychiatric epidemiology,精神病学流行病学,/ˌsaɪ.kjəˈtrɪk ˌɛp.ɪ.diˈmiː.ə.lə.dʒi/,P.,醫學,,Psychiatric epidemiology is the study of how psychiatric disorders affect populations.,psychiatric epidemiology,study_of_psychiatric_disorders_affecting_populations,250917A000,「uu」
Prevalence - 患病率,M000115,Prevalence,患病率,/ˈprɛvələns/,n.,醫學,,Prevalence refers to the prevalence of a disease within a specific population at a given time.,,,250917A000,「uu」
Lifetime prevalence - 终生患病率,M000116,Lifetime prevalence,终生患病率,/ˈlaɪfˌtaɪm ˈprɛvələns/,P.,,,Lifetime prevalence refers to the proportion of individuals who have experienced a particular condition at any point in their lives.,lifetime prevalence,duration_of_life occurrence_rate,250917A000,「uu」
